CustomerKey,FirstName,LastName,FullName,Gender,ShortPhoneNumn,DateFirstPurchase,CustomerCity
11108,Kari,Alvarez,Kari Alvarez,Female,169,5/3/2011,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,Male,132,5/10/2011,South Melbourne
11110,Curtis,Yang,Curtis Yang,Male,127,5/1/2011,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,179,5/20/2011,Geelong
11112,Crystal,Wang,Crystal Wang,Female,134,5/25/2011,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,Male,131,2/1/2013,Perth
11114,Leslie,Moreno,Leslie Moreno,Female,115,3/18/2013,Rhodes
11115,Alvin,Cai,Alvin Cai,Male,191,2/10/2013,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,Male,184,3/15/2013,Sydney
11117,April,Deng,April Deng,Female,182,5/6/2011,Matraville
11118,Alvin,Zeng,Alvin Zeng,Male,174,7/10/2013,Lavender Bay
11119,Evan,James,Evan James,Male,187,2/3/2013,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,Female,164,5/14/2011,Sydney
11121,Orlando,Suarez,Orlando Suarez,Male,198,6/24/2013,Newcastle
11122,Byron,Vazquez,Byron Vazquez,Male,136,2/21/2013,North Sydney
11123,Philip,Alvarez,Philip Alvarez,Male,191,4/17/2013,Sunbury
11124,Ross,Jordan,Ross Jordan,Male,126,5/5/2011,Warrnambool
11125,Dana,Navarro,Dana Navarro,Female,172,1/31/2013,Seaford
11126,Shaun,Carson,Shaun Carson,Male,155,5/28/2011,North Ryde
11127,Jan,Edwards,Jan Edwards,Female,118,4/10/2013,San Gabriel
11128,Samantha,Long,Samantha Long,Female,139,6/19/2013,Renton
11129,Julia,Wright,Julia Wright,Female,174,8/6/2011,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,Female,137,12/9/2013,Lebanon
11131,Amanda,Rivera,Amanda Rivera,Female,126,10/18/2013,Haney
11132,Melissa,Richardson,Melissa Richardson,Female,118,4/9/2013,Langford
11133,Angela,Griffin,Angela Griffin,Female,174,12/30/2013,Lake Oswego
11134,Larry,Townsend,Larry Townsend,Male,130,5/3/2011,Perth
11135,Marcus,Harris,Marcus Harris,Male,119,4/18/2013,Burlingame
11136,Brianna,Morgan,Brianna Morgan,Female,117,1/3/2013,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,Female,146,7/31/2013,Spokane
11138,Lauren,Davis,Lauren Davis,Female,121,9/19/2013,Glendale
11139,Tanya,Moreno,Tanya Moreno,Female,185,9/14/2013,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,Male,134,3/19/2013,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,Female,162,5/16/2013,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,Male,184,2/13/2013,Langford
11143,Jonathan,Henderson,Jonathan Henderson,Male,113,6/15/2013,Lakewood
11144,Edward,Hernandez,Edward Hernandez,Male,196,1/25/2013,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,Female,115,1/25/2013,Beaverton
11146,Karla,Goel,Karla Goel,Female,137,2/5/2013,Matraville
11147,Ernest,Wu,Ernest Wu,Male,139,5/13/2011,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,Male,163,3/7/2013,East Brisbane
11149,Theodore,Gill,Theodore Gill,Male,194,6/4/2013,Hervey Bay
11150,Russell,Shen,Russell Shen,Male,191,3/27/2013,Sunbury
11151,Melinda,Gill,Melinda Gill,Female,117,5/15/2011,Sydney
11152,James,Williams,James Williams,Male,153,1/9/2013,Puyallup
11153,Angela,James,Angela James,Female,111,3/29/2013,Renton
11154,Megan,Walker,Megan Walker,Female,186,1/10/2013,Woodburn
11155,Hunter,Robinson,Hunter Robinson,Male,125,1/6/2013,Burbank
11156,Maria,Roberts,Maria Roberts,Female,199,1/8/2013,Lakewood
11157,Hannah,Long,Hannah Long,Female,177,7/24/2013,Tacoma
11158,Jason,Wright,Jason Wright,Male,176,1/19/2013,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,Female,183,9/8/2013,Woodland Hills
11160,Maurice,Tang,Maurice Tang,Male,172,2/21/2013,Concord
11161,Emily,Wood,Emily Wood,Female,114,6/1/2013,Concord
11162,Chase,Cox,Chase Cox,Male,116,2/18/2013,La Jolla
11163,Gabriel,Wang,Gabriel Wang,Male,150,5/1/2013,Spring Valley
11164,Devin,Brooks,Devin Brooks,Male,138,4/27/2013,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,134,5/25/2013,Oakland
11166,Ashley,Martinez,Ashley Martinez,Female,194,10/14/2013,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,Female,156,1/7/2013,Issaquah
11168,David,Rodriguez,David Rodriguez,Male,128,1/15/2013,Oakland
11169,Bryce,Richardson,Bryce Richardson,Male,176,5/26/2013,Coronado
11170,Carol,Howard,Carol Howard,Female,127,8/26/2013,Burien
11171,Jonathan,Hill,Jonathan Hill,Male,196,8/20/2011,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,Female,152,5/3/2013,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,Female,188,3/2/2013,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,Male,138,7/13/2013,Los Angeles
11175,Luis,Wang,Luis Wang,Male,127,8/28/2011,Beverly Hills
11176,Mason,Roberts,Mason Roberts,Male,162,2/2/2013,Haney
11177,Jose,Flores,Jose Flores,Male,182,3/29/2013,San Diego
11178,Nathan,Johnson,Nathan Johnson,Male,182,2/21/2013,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,Female,185,3/12/2013,Beverly Hills
11180,April,Anand,April Anand,Female,144,3/17/2013,Chula Vista
11181,Devin,Martin,Devin Martin,Male,197,5/7/2013,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,Female,176,8/28/2013,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,Female,199,4/30/2013,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,Female,188,8/10/2013,Concord
11185,Ashley,Henderson,Ashley Henderson,Female,121,2/21/2013,Metchosin
11186,Sarah,Price,Sarah Price,Female,133,10/18/2013,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,Female,111,4/3/2013,Burien
11188,Catherine,Morris,Catherine Morris,Female,117,11/1/2013,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,Male,171,8/26/2011,Bellingham
11190,Carson,Bryant,Carson Bryant,Male,142,8/28/2013,Beverly Hills
11191,Kristi,Perez,Kristi Perez,Female,181,8/11/2011,Colma
11192,James,Brown,James Brown,Male,117,6/23/2013,Seattle
11193,Ian,Gray,Ian Gray,Male,190,2/25/2013,Woodburn
11194,Jacqueline,Price,Jacqueline Price,Female,112,3/13/2013,Palo Alto
11195,Megan,Henderson,Megan Henderson,Female,150,4/14/2013,Renton
11196,Alfredo,Romero,Alfredo Romero,Male,110,3/3/2013,Beaverton
11197,Andrea,Morris,Andrea Morris,Female,178,5/2/2013,Seattle
11198,Brooke,Sanders,Brooke Sanders,Female,156,2/5/2013,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,174,3/18/2013,Burlingame
11200,Jason,Griffin,Jason Griffin,Male,160,2/7/2013,Victoria
11201,Amanda,Foster,Amanda Foster,Female,159,7/1/2013,Santa Monica
11202,Alexia,Price,Alexia Price,Female,118,9/15/2013,Lakewood
11203,Luis,Diaz,Luis Diaz,Male,126,2/20/2013,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,Female,111,8/9/2013,Beaverton
11205,Abby,Fernandez,Abby Fernandez,Female,119,7/27/2013,Burien
11206,Blake,Flores,Blake Flores,Male,163,5/11/2013,Lynnwood
11207,Danielle,Cox,Danielle Cox,Female,158,1/31/2013,Renton
11208,Maria,Reed,Maria Reed,Female,163,3/4/2013,Glendale
11209,Allison,Evans,Allison Evans,Female,151,3/25/2013,Lincoln Acres
11210,Edward,Wood,Edward Wood,Male,114,5/6/2013,West Covina
11211,Samantha,Russell,Samantha Russell,Female,121,2/1/2013,Haney
11212,Chloe,Campbell,Chloe Campbell,Female,169,1/30/2013,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,Female,151,3/28/2013,Edmonds
11214,Charles,Miller,Charles Miller,Male,115,8/14/2013,Milwaukie
11215,Ana,Perry,Ana Perry,Female,134,2/15/2013,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,Female,130,8/15/2011,Portland
11217,Natalie,Adams,Natalie Adams,Female,150,8/10/2011,Portland
11218,Olivia,Brown,Olivia Brown,Female,147,2/28/2013,Tacoma
11219,Charles,Cook,Charles Cook,Male,111,10/29/2013,Woodburn
11220,Erica,Huang,Erica Huang,Female,157,3/14/2013,Colma
11221,Nathan,Perry,Nathan Perry,Male,191,4/7/2013,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,Female,143,11/1/2013,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,Female,126,1/29/2013,Langley
11224,Tiffany,Li,Tiffany Li,Female,118,8/7/2011,Burien
11225,Madison,Lee,Madison Lee,Female,142,6/22/2013,Renton
11226,Sydney,Ross,Sydney Ross,Female,146,2/21/2013,W. Linn
11227,Marshall,Chavez,Marshall Chavez,Male,116,8/3/2011,Colma
11228,Ashley,Jones,Ashley Jones,Female,169,10/25/2013,El Cajon
11229,Adrian,Stewart,Adrian Stewart,Male,122,7/27/2013,Redwood City
11230,Amber,Turner,Amber Turner,Female,131,7/16/2013,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,Male,134,2/10/2013,Bremerton
11232,Hailey,Bryant,Hailey Bryant,Female,195,9/20/2013,Everett
11233,Todd,Li,Todd Li,Male,147,2/8/2013,Berkeley
11234,Anna,Griffin,Anna Griffin,Female,146,2/8/2013,Long Beach
11235,Angel,Stewart,Angel Stewart,Male,122,7/4/2013,Ballard
11236,Jeremy,Butler,Jeremy Butler,Male,117,10/3/2013,Bellingham
11237,Clarence,Anand,Clarence Anand,Male,191,9/5/2011,Solingen
11238,Mayra,Prasad,Mayra Prasad,Female,116,1/6/2011,Birmingham
11239,Latoya,Goel,Latoya Goel,Female,149,1/19/2011,London
11240,Anne,Hernandez,Anne Hernandez,Female,119,2/27/2011,Watford
11241,Lisa,Cai,Lisa Cai,Female,125,9/10/2012,Les Ulis
11242,Larry,Munoz,Larry Munoz,Male,193,9/19/2012,Versailles
11243,Robin,Alvarez,Robin Alvarez,Female,198,2/21/2011,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,Female,115,2/12/2011,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,Male,147,9/26/2011,Hamburg
11246,Latasha,Rubio,Latasha Rubio,Female,178,10/3/2011,Hamburg
11247,Claudia,Zhou,Claudia Zhou,Female,116,2/18/2011,Lancaster
11248,Tristan,Alexander,Tristan Alexander,Male,124,7/14/2013,Saint-Denis
11249,Cindy,Patel,Cindy Patel,Female,149,10/9/2011,Sulzbach Taunus
11250,Shannon,Liu,Shannon Liu,Female,119,3/17/2011,Woolston
11251,Xavier,Long,Xavier Long,Male,114,10/18/2013,Haney
11252,Nicholas,Thompson,Nicholas Thompson,Male,147,8/14/2011,Lemon Grove
11253,José,Hernandez,José Hernandez,Male,130,3/1/2013,Victoria
11254,Johnathan,Vance,Johnathan Vance,Male,166,11/23/2013,Burien
11255,Colin,Lin,Colin Lin,Male,132,2/23/2013,Burien
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,116,4/15/2013,Lynnwood
11257,Jacqueline,Powell,Jacqueline Powell,Female,111,8/24/2011,Newport Beach
11258,Xavier,Hill,Xavier Hill,Male,149,5/21/2013,Palo Alto
11259,Victoria,Stewart,Victoria Stewart,Female,139,9/4/2011,Salem
11260,Katelyn,Kelly,Katelyn Kelly,Female,132,2/5/2013,Burlingame
11261,Stephanie,Collins,Stephanie Collins,Female,173,9/27/2011,San Diego
11262,Jennifer,Simmons,Jennifer Simmons,Female,115,2/27/2013,Port Hammond
11263,Trinity,Richardson,Trinity Richardson,Female,116,8/29/2011,Burien
11264,Eduardo,Martin,Eduardo Martin,Male,195,1/2/2013,Issaquah
11265,Elizabeth,Jones,Elizabeth Jones,Female,110,1/3/2013,Kirkland
11266,Taylor,Howard,Taylor Howard,Female,131,9/10/2011,Port Orchard
11267,David,Diaz,David Diaz,Male,119,9/17/2011,Burlingame
11268,Katelyn,Carter,Katelyn Carter,Female,195,5/29/2013,Coronado
11269,Ryan,Foster,Ryan Foster,Male,133,8/22/2013,Daly City
11270,Robert,Lee,Robert Lee,Male,174,9/10/2011,Lakewood
11271,Danielle,Reed,Danielle Reed,Female,114,9/27/2011,San Francisco
11272,Lauren,Martinez,Lauren Martinez,Female,117,9/19/2011,Beverly Hills
11273,Nathan,Lal,Nathan Lal,Male,121,5/14/2013,La Jolla
11274,Kyle,Foster,Kyle Foster,Male,126,8/29/2011,Bellingham
11275,Jenny,Rai,Jenny Rai,Female,119,8/30/2011,Colma
11276,Nancy,Chapman,Nancy Chapman,Female,129,1/29/2013,Cliffside
11277,Charles,Jackson,Charles Jackson,Male,175,2/2/2013,Royal Oak
11278,Jonathan,Phillips,Jonathan Phillips,Male,176,9/16/2011,Edmonds
11279,Amanda,Cook,Amanda Cook,Female,177,3/3/2013,Everett
11280,Robert,Collins,Robert Collins,Male,171,7/1/2013,Lynnwood
11281,Megan,Barnes,Megan Barnes,Female,156,9/13/2011,Burbank
11282,Christian,Thomas,Christian Thomas,Male,172,8/31/2011,Burien
11283,Arturo,Lal,Arturo Lal,Male,164,5/29/2013,Berkeley
11284,Theresa,Serrano,Theresa Serrano,Female,162,2/6/2013,Chula Vista
11285,Jeremy,Anderson,Jeremy Anderson,Male,176,7/27/2013,Fremont
11286,Hunter,Griffin,Hunter Griffin,Male,148,9/21/2011,Torrance
11287,Henry,Garcia,Henry Garcia,Male,185,1/29/2013,Cliffside
11288,Cindy,Sanchez,Cindy Sanchez,Female,118,3/5/2013,Burbank
11289,Maria,Carter,Maria Carter,Female,158,9/8/2011,Downey
11290,Katelyn,Sanchez,Katelyn Sanchez,Female,150,9/20/2011,Lakewood
11291,Jenna,Wright,Jenna Wright,Female,191,9/4/2011,Lemon Grove
11292,Seth,Phillips,Seth Phillips,Male,196,9/15/2011,San Gabriel
11293,Luke,Long,Luke Long,Male,117,2/24/2013,Port Orchard
11294,Dalton,Clark,Dalton Clark,Male,195,9/25/2013,Issaquah
11295,Taylor,Lewis,Taylor Lewis,Female,174,9/25/2011,Concord
11296,Haley,Richardson,Haley Richardson,Female,129,9/1/2011,Everett
11297,Noah,Coleman,Noah Coleman,Male,167,9/26/2011,Burbank
11298,Jon,Luo,Jon Luo,Male,189,9/12/2011,Chula Vista
11299,Orlando,Vazquez,Orlando Vazquez,Male,143,9/26/2011,Burbank
11300,Fernando,Barnes,Fernando Barnes,Male,125,1/31/2013,N. Vancouver
11301,Cameron,Rodriguez,Cameron Rodriguez,Male,119,6/9/2013,Ballard
11302,Spencer,Russell,Spencer Russell,Male,131,9/6/2011,Corvallis
11303,Julia,Coleman,Julia Coleman,Female,170,9/2/2011,Edmonds
11304,Julia,Garcia,Julia Garcia,Female,183,3/20/2013,Portland
11305,Sean,Evans,Sean Evans,Male,174,3/25/2013,Chula Vista
11306,Micah,Zhou,Micah Zhou,Male,185,6/30/2013,Coronado
11307,Hunter,Rodriguez,Hunter Rodriguez,Male,142,9/4/2011,Daly City
11308,Ian,Gonzales,Ian Gonzales,Male,153,9/7/2013,Oregon City
11309,Victoria,Lewis,Victoria Lewis,Female,191,7/9/2013,Beaverton
11310,Erin,Sanders,Erin Sanders,Female,160,8/12/2013,San Francisco
11311,Gabrielle,Lopez,Gabrielle Lopez,Female,174,4/18/2013,Lynnwood
11312,Sara,Richardson,Sara Richardson,Female,174,5/17/2013,Lynnwood
11313,Trevor,Jenkins,Trevor Jenkins,Male,129,5/7/2013,Port Orchard
11314,Mya,Flores,Mya Flores,Female,140,2/25/2013,Issaquah
11315,Hailey,Ward,Hailey Ward,Female,151,5/20/2013,Port Orchard
11316,Luke,Allen,Luke Allen,Male,133,1/12/2013,Langford
11317,Victoria,Russell,Victoria Russell,Female,197,9/1/2011,Salem
11318,Jessica,Wilson,Jessica Wilson,Female,180,10/17/2013,Edmonds
11319,Jade,Bailey,Jade Bailey,Female,160,9/9/2011,Oakland
11320,Morgan,Hill,Morgan Hill,Female,120,6/15/2013,Glendale
11321,Terrance,Raman,Terrance Raman,Male,124,2/23/2013,Burien
11322,Sydney,Garcia,Sydney Garcia,Female,116,3/24/2013,Bremerton
11323,Jose,Patterson,Jose Patterson,Male,153,9/10/2011,Daly City
11324,Zachary,Anderson,Zachary Anderson,Male,118,9/26/2011,Glendale
11325,Elijah,Ross,Elijah Ross,Male,142,9/19/2011,Seattle
11326,Rafael,Xie,Rafael Xie,Male,137,9/15/2011,Beverly Hills
11327,Jaime,Moreno,Jaime Moreno,Male,178,9/26/2011,Burbank
11328,Julian,Griffin,Julian Griffin,Male,197,1/5/2013,Newton
11329,Andy,Alvarez,Andy Alvarez,Male,172,9/25/2011,Concord
11330,Ryan,Thompson,Ryan Thompson,Male,142,2/12/2013,Oak Bay
11331,Samantha,Jenkins,Samantha Jenkins,Female,152,2/7/2013,Shawnee
11332,Deanna,Ramos,Deanna Ramos,Female,138,10/15/2011,Berlin
11333,Emily,Miller,Emily Miller,Female,110,3/21/2011,Newcastle upon Tyne
11334,Nicole,Brown,Nicole Brown,Female,187,3/4/2011,Stoke-on-Trent
11335,Carla,Raman,Carla Raman,Female,124,10/23/2011,Hof
11336,Shaun,Raji,Shaun Raji,Male,122,9/27/2012,Paris
11337,Jerome,Romero,Jerome Romero,Male,112,3/9/2011,Watford
11338,Frank,Navarro,Frank Navarro,Male,139,10/11/2011,Bonn
11339,Dennis,She,Dennis She,Male,141,10/7/2012,Paris
11340,Melody,Munoz,Melody Munoz,Female,147,10/27/2012,Paris
11341,Randy,Zeng,Randy Zeng,Male,144,4/11/2011,Cheltenham
11342,Marshall,Wang,Marshall Wang,Male,161,7/12/2013,Boulogne-sur-Mer
11343,Arthur,Carlson,Arthur Carlson,Male,166,4/4/2011,Oxon
11344,Jessie,Jimenez,Jessie Jimenez,Female,193,5/13/2011,Oxford
11345,Robin,Ramos,Robin Ramos,Female,111,10/22/2012,Tremblay-en-France
11346,Deanna,Gutierrez,Deanna Gutierrez,Female,112,10/1/2012,Paris
11347,Roy,Navarro,Roy Navarro,Male,137,3/16/2013,Braunschweig
11348,Shawn,Rai,Shawn Rai,Male,117,3/31/2013,Paderborn
11349,Mindy,Luo,Mindy Luo,Female,194,1/13/2014,München
11350,Cara,Zhou,Cara Zhou,Female,118,2/5/2013,Peterborough
11351,Anne,Ramos,Anne Ramos,Female,148,6/12/2011,London
11352,Raymond,Rodriguez,Raymond Rodriguez,Male,131,5/1/2013,Pantin
11353,Carrie,Ortega,Carrie Ortega,Female,111,6/12/2011,Warrington
11354,Deanna,Suarez,Deanna Suarez,Female,146,12/3/2013,Grevenbroich
11355,Roberto,Gutierrez,Roberto Gutierrez,Male,124,9/26/2013,Wokingham
11356,Terrence,Carson,Terrence Carson,Male,189,5/10/2011,Lavender Bay
11357,Ramon,Ye,Ramon Ye,Male,143,6/18/2011,Caloundra
11358,Cynthia,Malhotra,Cynthia Malhotra,Female,187,6/28/2011,Coffs Harbour
